sample_name,fastq_fwd_file_name,fastq_rev_file_name,sample_type,host_phylum,host_class,host_order,host_family,host_genus,host_species,species_name,collection_latitude,collection_longitude,collection_date,collection_depth,collection_site,collection_batch
KL-CP-40,KL-CP-40_S135_L001_R1_001.fastq.gz,KL-CP-40_S135_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Scleractinia incertae sedis,Solenastrea,bournoni,S.bournoni,24.90399933,-80.61685944,20201012,13,Cheeca,contemporary
KL-709,KL-709_S245_L001_R1_001.fastq.gz,KL-709_S245_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Scleractinia incertae sedis,Solenastrea,bournoni,S.bournoni,24.90399933,-80.61685944,20030930,13,Cheeca,historical
KL-53,KL-53_S281_L001_R1_001.fastq.gz,KL-53_S281_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Scleractinia incertae sedis,Solenastrea,bournoni,S.bournoni,25.11186028,-80.28582764,20010621,5.3,Outer Reef,historical
KL-56,KL-56_S282_L001_R1_001.fastq.gz,KL-56_S282_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Scleractinia incertae sedis,Solenastrea,bournoni,S.bournoni,25.11186028,-80.28582764,20010621,5.3,Outer Reef,historical
KL-59,KL-59_S288_L001_R1_001.fastq.gz,KL-59_S288_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Scleractinia incertae sedis,Solenastrea,bournoni,S.bournoni,25.11186028,-80.28582764,20010621,5.5,Outer Reef,historical
KL-66,KL-66_S293_L001_R1_001.fastq.gz,KL-66_S293_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Scleractinia incertae sedis,Solenastrea,bournoni,S.bournoni,25.11186028,-80.28582764,20010621,5.1,Outer Reef,historical
KL-76,KL-76_S301_L001_R1_001.fastq.gz,KL-76_S301_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Scleractinia incertae sedis,Solenastrea,bournoni,S.bournoni,25.11186028,-80.28582764,20010621,5,Outer Reef,historical
KL-86,KL-86_S307_L001_R1_001.fastq.gz,KL-86_S307_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Scleractinia incertae sedis,Solenastrea,bournoni,S.bournoni,24.94844437,-80.46238708,20010622,17.2,Conch,historical
KL-241,KL-241_S367_L001_R1_001.fastq.gz,KL-241_S367_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Scleractinia incertae sedis,Solenastrea,bournoni,S.bournoni,24.93535233,-80.54960632,20010623,3.5,Tavernier Rocks,historical
KL-242,KL-242_S370_L001_R1_001.fastq.gz,KL-242_S370_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Scleractinia incertae sedis,Solenastrea,bournoni,S.bournoni,24.93535233,-80.54960632,20010623,3.7,Tavernier Rocks,historical
KL-249,KL-249_S375_L001_R1_001.fastq.gz,KL-249_S375_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Scleractinia incertae sedis,Solenastrea,bournoni,S.bournoni,24.93535233,-80.54960632,20010623,3.3,Tavernier Rocks,historical
Tri-6,Tri-6_S394_L001_R1_001.fastq.gz,Tri-6_S394_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Scleractinia incertae sedis,Solenastrea,bournoni,S.bournoni,25.00873947,-80.44978333,20210702,9,Triangles,contemporary
Tri-27,Tri-27_S404_L001_R1_001.fastq.gz,Tri-27_S404_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Scleractinia incertae sedis,Solenastrea,bournoni,S.bournoni,24.93535233,-80.54960632,20210702,19,Tavernier Rocks,contemporary
Tri-19,Tri-19_S407_L001_R1_001.fastq.gz,Tri-19_S407_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Scleractinia incertae sedis,Solenastrea,bournoni,S.bournoni,25.00873947,-80.44978333,20210702,9,Triangles,contemporary
Tri-32,Tri-32_S420_L001_R1_001.fastq.gz,Tri-32_S420_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Scleractinia incertae sedis,Solenastrea,bournoni,S.bournoni,25.00873947,-80.44978333,20210702,9,Triangles,contemporary
Tr-14,Tr-14_S451_L001_R1_001.fastq.gz,Tr-14_S451_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Scleractinia incertae sedis,Solenastrea,bournoni,S.bournoni,24.93535233,-80.54960632,20210702,17,Tavernier Rocks,contemporary
Tr-8,Tr-8_S456_L001_R1_001.fastq.gz,Tr-8_S456_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Scleractinia incertae sedis,Solenastrea,bournoni,S.bournoni,24.93535233,-80.54960632,20210702,16,Tavernier Rocks,contemporary
Tr-17,Tr-17_S462_L001_R1_001.fastq.gz,Tr-17_S462_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Scleractinia incertae sedis,Solenastrea,bournoni,S.bournoni,24.93535233,-80.54960632,20210702,18,Tavernier Rocks,contemporary
Tr-26,Tr-26_S463_L001_R1_001.fastq.gz,Tr-26_S463_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Scleractinia incertae sedis,Solenastrea,bournoni,S.bournoni,24.93535233,-80.54960632,20210702,17,Tavernier Rocks,contemporary
Tr-27,Tr-27_S464_L001_R1_001.fastq.gz,Tr-27_S464_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Scleractinia incertae sedis,Solenastrea,bournoni,S.bournoni,24.93535233,-80.54960632,20210702,19,Tavernier Rocks,contemporary
